,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Sylvie Giroux,4,427,4,0.0,0.019,,,0.6901
Meredith A Bostrom,4,197,4,0.0,0.026,,,0.5091
Mark Harland,4,330,4,0.0,0.007,,,0.6362
Naga Chalasani,5,129,4,0.0,0.007,,,0.4088
Merethe Kumle,4,815,4,0.0,0.018,,,0.8158
Christi J van Asperen,4,710,4,0.0,0.039,,,0.7867
Masayuki Kurosaki,5,714,4,0.0,0.003,,,0.7879
Christer Janson,4,332,4,0.0,0.018,,,0.6378
Szabolcs Szelinger,5,141,4,0.0,0.012,,,0.4273
Bru Cormand,5,98,4,0.0,0.005,,,0.3507
Mark C Lanasa,4,207,4,0.0,0.011,,,0.5236
Victoria L Zismann,4,391,4,0.0,0.003,,,0.6717
Andrew J McMichael,4,768,4,0.0,0.003,,,0.8038
Bing Ge,6,204,4,0.0,0.016,,,0.5199
Susanne Kruger Kjaer,4,356,4,0.0,0.021,,,0.651
Ying Lin,4,122,4,0.0,0.005,,,0.3951
L J Bierut,5,149,4,0.0,0.006,,,0.439
Bertrand Fontaine,4,1045,4,0.0,0.02,,,0.8573
Georg Pfeiler,4,190,4,0.0,0.045,,,0.5001
Vincenzo Forgetta,6,289,4,0.0,0.014,,,0.6017
Li Chen,5,944,4,0.0,0.016,,,0.8401
Neil Robertson,4,1672,4,0.0,0.036,,,0.9172
Neil Risch,9,167,4,0.0,0.01,,,0.4661
X Zhang,5,68,4,0.0,0.006,,,0.2632
Gary J Macfarlane,4,143,4,0.0,0.013,,,0.4299
Wei Q Ang,4,298,4,0.0,0.026,,,0.6088
Vincent Yeow,4,233,4,0.0,0.003,,,0.553
Mary E Porteous,4,528,4,0.0,0.043,,,0.7325
Wayne T McCormack,4,184,4,0.0,0.002,,,0.4925
Rebecca F Halperin,4,309,4,0.0,0.003,,,0.6214
Gary M Hunninghake,5,340,4,0.0,0.005,,,0.6431
Viorel Jinga,5,261,4,0.0,0.015,,,0.5792
Peter Schurmann,4,1096,4,0.0,0.037,,,0.8631
Brian F Meyer,5,136,4,0.0,0.017,,,0.4198
Morten Mattingsdal,5,349,4,0.0,0.016,,,0.6472
Ge Zhang,6,52,4,0.0,0.008,,,0.2025
Genovefa Kolovou,4,738,4,0.0,0.048,,,0.7937
Li Lin,4,111,4,0.0,0.032,,,0.3768
Wayne C Drevets,4,450,4,0.0,0.026,,,0.6996
Palmi V Jonsson,4,1470,4,0.0,0.017,,,0.9047
Geoffrey Neale,4,283,4,0.0,0.004,,,0.5964
Geoffrey Otton,6,91,4,0.0,0.013,,,0.3317
Clement C Y Tham,4,170,4,0.0,0.011,,,0.4708
Clifton Bogardus,4,82,4,0.0,0.001,,,0.3064
Vinod Chandran,4,300,4,0.0,0.005,,,0.6102
Christian Rust,5,220,4,0.0,0.007,,,0.5368
Brian A Walker,5,130,4,0.0,0.006,,,0.4106
Geert Mayer,4,229,4,0.0,0.005,,,0.5483
Nadia Barizzone,5,460,4,0.0,0.013,,,0.7047
Anna Jonsson,4,1216,4,0.0,0.025,,,0.8772
Clement Adebamowo,4,68,4,0.0,0.006,,,0.2632
Paul P Tak,4,1017,4,0.0,0.009,,,0.8528
Stephanie V Blank,4,317,4,0.0,0.027,,,0.6266
Gary E Goodman,7,159,4,0.0,0.025,,,0.4558
Stephanie Le Hellard,7,453,4,0.0,0.033,,,0.7016
Cheng Wang,5,70,4,0.0,0.005,,,0.2703
Harald Hampel,4,1915,4,0.0,0.027,,,0.9287
Claudio Lunardi,4,152,4,0.0,0.008,,,0.4437
Michael Alexander,4,308,4,0.0,0.012,,,0.6207
Suzanne Chambers,4,384,4,0.0,0.015,,,0.6678
Yixin Zeng,4,220,4,0.0,0.008,,,0.5368
Mark Robson,4,151,4,0.0,0.036,,,0.4416
Brian K Suarez,4,1051,4,0.0,0.008,,,0.8581
Cheng Quan,4,631,4,0.0,0.006,,,0.7664
Vincent E Mooser,4,419,4,0.0,0.04,,,0.6869
Peter T Donaldson,4,491,4,0.0,0.003,,,0.7193
Gaetano R Barile,4,535,4,0.0,0.01,,,0.7348
Peter H Whincup,4,1041,4,0.0,0.039,,,0.8563
George Fountzilas,4,389,4,0.0,0.035,,,0.6706
Stephanie L Schmit,6,62,4,0.0,0.017,,,0.2408
Rebecca A Barnetson,4,918,4,0.0,0.007,,,0.8353
Michael B Bracken,4,1346,4,0.0,0.003,,,0.891
Hans-Jurgen Moller,4,1075,4,0.0,0.008,,,0.861
Muhammad T Salam,4,259,4,0.0,0.015,,,0.5778
Suyoun Chung,4,58,4,0.0,0.001,,,0.2256
Yi Lin,7,79,4,0.0,0.011,,,0.2971
Choon-Sik Park,4,269,4,0.0,0.005,,,0.5856
Suthesh Sivapalaratnam,4,1542,4,0.0,0.032,,,0.91
Harald Surowy,4,224,4,0.0,0.038,,,0.5424
Gary Donohoe,7,453,4,0.0,0.033,,,0.7016
Claus Holst,4,282,4,0.0,0.009,,,0.5957
Michael A Horan,4,262,4,0.0,0.019,,,0.58
Susana Munoz Maniega,4,293,4,0.0,0.025,,,0.6051
Jussi Paananen,3,49,3,0.0,0.005,,,0.1864
Josep M Mercader,5,152,3,0.0,0.017,,,0.4437
P M Visscher,3,291,3,0.0,0.003,,,0.6034
Min Shi,5,318,3,0.0,0.006,,,0.6272
Marcella Marinelli,4,70,3,0.0,0.008,,,0.2703
Mari K Halle,3,176,3,0.0,0.013,,,0.4805
K A McGhee,3,508,3,0.0,0.004,,,0.7246
Margrieta A Alblas,3,236,3,0.0,0.004,,,0.5561
Olimpia Arellano-Campos,4,75,3,0.0,0.005,,,0.2846
Min Xu,3,42,3,0.0,0.006,,,0.1575
Mary Sano,3,766,3,0.0,0.025,,,0.8023
Marcello Maggio,3,114,3,0.0,0.008,,,0.3823
Peter J Selby,3,136,3,0.0,0.01,,,0.4198
Marcus G Pezzolesi,5,132,3,0.0,0.008,,,0.4132
Piero Picci,4,133,3,0.0,0.004,,,0.4149
Marcia Adams,3,73,3,0.0,0.042,,,0.2775
Josep A Ramos-Quiroga,5,27,3,0.0,0.007,,,0.0893
Marcel P Zwiers,3,224,3,0.0,0.024,,,0.5424
Ryan Welch,3,1364,3,0.0,0.033,,,0.8932
Peter Eibich,3,256,3,0.0,0.026,,,0.5758
Matthew P Conomos,8,53,3,0.0,0.009,,,0.2063
Mari A Kaunisto,3,233,3,0.0,0.007,,,0.553
Marcel van der Brug,3,781,3,0.0,0.02,,,0.8082
O Raitakari,3,40,3,0.0,0.004,,,0.1464
Peter Geisler,3,109,3,0.0,0.004,,,0.3725
Pieter C F Stokkers,3,1035,3,0.0,0.007,,,0.8552
K Nho,3,136,3,0.0,0.002,,,0.4198
Marek Zygmunt,3,243,3,0.0,0.026,,,0.5623
Pascal Arp,3,217,3,0.0,0.005,,,0.5331
Marek Postula,3,20,3,0.0,0.0,,,0.0507
Margrit Urbanek,3,70,3,0.0,0.002,,,0.2703
Ryan P Welch,4,936,3,0.0,0.038,,,0.838
Marcello Campagna,3,456,3,0.0,0.008,,,0.7028
Juri Allik,3,251,3,0.0,0.017,,,0.5705
Ping Hou,3,228,3,0.0,0.004,,,0.5471
Marco P Boks,4,224,3,0.0,0.027,,,0.5424
Justin P Rubio,3,812,3,0.0,0.014,,,0.8155
Masahiro Kanai,5,33,3,0.0,0.016,,,0.1144
Joseph Emmerich,3,133,3,0.0,0.002,,,0.4149
K E North,3,44,3,0.0,0.003,,,0.1681
Mohammad Arfan Ikram,3,72,3,0.0,0.015,,,0.2744
Margit Heier,3,86,3,0.0,0.01,,,0.3167
Joseph E Powell,4,538,3,0.0,0.036,,,0.736
Rose A Maciewicz,3,91,3,0.0,0.005,,,0.3317
Margaret L Lawson,3,280,3,0.0,0.002,,,0.5942
Margaret M Deangelis,3,481,3,0.0,0.017,,,0.7152
Joseph Devaney,3,310,3,0.0,0.011,,,0.6221
K Domschke,3,175,3,0.0,0.004,,,0.4794
Masa Umicevic Mirkov,3,84,3,0.0,0.006,,,0.3114
Ryan J Uitti,3,189,3,0.0,0.005,,,0.4987
Martina Teichert,3,120,3,0.0,0.011,,,0.3916
Peter H O'Donnell,3,79,3,0.0,0.002,,,0.2971
Jose-Alain Sahel,3,441,3,0.0,0.012,,,0.6959
O A Andreassen,4,92,3,0.0,0.011,,,0.334
Rosamonde E Banks,3,136,3,0.0,0.01,,,0.4198
Jose R Romero,3,107,3,0.0,0.017,,,0.3685
K D Chambert,3,77,3,0.0,0.003,,,0.2905
Margarida C Lopes,3,187,3,0.0,0.005,,,0.4965
Mobshra Qureshi,3,687,3,0.0,0.005,,,0.7792
Martine De Vos,3,2348,3,0.0,0.01,,,0.9443
Roseanne Peel,3,84,3,0.0,0.011,,,0.3114
Masahiro Fuwa,4,93,3,0.0,0.001,,,0.3364
Min-Lee Yang,3,76,3,0.0,0.008,,,0.2872
Martine Vaxillaire,3,441,3,0.0,0.004,,,0.6959
Rosalind Ramsey-Goldman,4,295,3,0.0,0.006,,,0.6062
Matthew Parliament,3,35,3,0.0,0.01,,,0.1244
Marco Masala,4,251,3,0.0,0.019,,,0.5705
Joseph Acheampong,3,27,3,0.0,0.002,,,0.0893
Rosemary Balleine,3,354,3,0.0,0.022,,,0.65
P Mecocci,3,788,3,0.0,0.009,,,0.8103
Rosemarie Grabs,3,280,3,0.0,0.002,,,0.5942
K L Lunetta,3,772,3,0.0,0.011,,,0.8056
N J Bass,3,255,3,0.0,0.008,,,0.5744
Matthew M Thompson,3,82,3,0.0,0.006,,,0.3064
Peter Eh Schwarz,3,317,3,0.0,0.044,,,0.6266
Peter J Donnelly,3,988,3,0.0,0.024,,,0.8482
Martti Sorri,3,95,3,0.0,0.002,,,0.3431
Mo Yin Mok,4,201,3,0.0,0.004,,,0.5154
Nur Aishah Mohd Taib,3,371,3,0.0,0.032,,,0.6606
Rosalie A M Dhonukshe-Rutten,3,67,3,0.0,0.026,,,0.2594
Marcin Lener,3,379,3,0.0,0.011,,,0.6654
Peter H St George-Hyslop,3,240,3,0.0,0.005,,,0.5593
Margot Albus,3,484,3,0.0,0.012,,,0.7159
Joseph A Murray,3,331,3,0.0,0.004,,,0.6372
Masaaki Kageyama,3,77,3,0.0,0.001,,,0.2905
Marco Hok Kung Ho,4,201,3,0.0,0.004,,,0.5154
Martine de Vos,3,1193,3,0.0,0.006,,,0.8749
Joseph A Vita,3,122,3,0.0,0.005,,,0.3951
Marylyn Ritchie,4,461,3,0.0,0.035,,,0.7053
K Hek,3,45,3,0.0,0.006,,,0.1718
Matthew P Goetz,4,113,3,0.0,0.002,,,0.3808
Pierre-Yves Bochud,4,365,3,0.0,0.002,,,0.6568
Mona Stahle,3,505,3,0.0,0.009,,,0.7235
Josep Lloreta,3,245,3,0.0,0.009,,,0.5647
P P Zandi,3,195,3,0.0,0.003,,,0.5072
Jurgen Tepel,3,542,3,0.0,0.005,,,0.7376
Philip S Dale,3,36,3,0.0,0.005,,,0.1281
Marie Stenmark-Askmalm,3,173,3,0.0,0.032,,,0.4763
Marie-Christine Alessi,4,136,3,0.0,0.002,,,0.4198
Patricia A Boyle,4,424,3,0.0,0.031,,,0.6888
Jouko Sundvall,3,1293,3,0.0,0.012,,,0.8848
Palmiero Monteleone,3,42,3,0.0,0.01,,,0.1575
Julian C Knight,4,176,3,0.0,0.006,,,0.4805
Ming-Ta Michael Lee,4,24,3,0.0,0.001,,,0.0749
Mark T Gladwin,3,40,3,0.0,0.002,,,0.1464
Julian Adlard,3,127,3,0.0,0.043,,,0.4048
Nadia Boutaoui,4,184,3,0.0,0.004,,,0.4925
Julia Volkert,3,42,3,0.0,0.01,,,0.1575
Mark Slee,3,398,3,0.0,0.011,,,0.6755
Norbert Wodarz,5,247,3,0.0,0.006,,,0.567
Julia Meyer,3,988,3,0.0,0.024,,,0.8482
Nam Han Cho,4,46,3,0.0,0.001,,,0.1754
Nadim Aslam,3,166,3,0.0,0.006,,,0.4646
Mingfei Chen,3,78,3,0.0,0.003,,,0.2939
Matteo Barcella,3,63,3,0.0,0.035,,,0.2456
Mark N Kvale,5,28,3,0.0,0.002,,,0.095
Myunghee Hong,4,61,3,0.0,0.004,,,0.236
Patricia A Cleary,4,61,3,0.0,0.002,,,0.236
Marike Gabrielson,3,72,3,0.0,0.036,,,0.2744
Philip K Chen,3,223,3,0.0,0.003,,,0.5406
Matt J Neville,3,1411,3,0.0,0.035,,,0.8987
Masato Kasuga,3,402,3,0.0,0.004,,,0.6777
Matthew A Sims,3,1155,3,0.0,0.013,,,0.8705
Philip Scheltens,3,71,3,0.0,0.01,,,0.2723
Peter Alexandersen,3,261,3,0.0,0.003,,,0.5792
Per Helsing,3,123,3,0.0,0.008,,,0.3969
Julie M Gastier-Foster,4,115,3,0.0,0.005,,,0.384
Myung Ki Han,3,39,3,0.0,0.001,,,0.1421
Matthew Budoff,3,79,3,0.0,0.005,,,0.2971
Paolo Brambilla,3,1157,3,0.0,0.042,,,0.8708
Matthew Brooks,3,624,3,0.0,0.013,,,0.7646
Masaomi Iyo,4,87,3,0.0,0.003,,,0.3213
Per Magnus,3,72,3,0.0,0.023,,,0.2744
Markus Bohm,4,53,3,0.0,0.005,,,0.2063
Patricia Munroe,3,480,3,0.0,0.014,,,0.7146
Julie L Shaner,3,198,3,0.0,0.002,,,0.51
Markku Saraheimo,3,81,3,0.0,0.004,,,0.3034
Markku Koiranen,3,859,3,0.0,0.025,,,0.8244
Julie Cunningham,3,182,3,0.0,0.022,,,0.4897
Julie C Yates,3,133,3,0.0,0.003,,,0.4149
Marianne Benn,3,166,3,0.0,0.011,,,0.4646
Masashi Tanaka,3,53,3,0.0,0.002,,,0.2063
Marianne Labussiere,3,96,3,0.0,0.005,,,0.3459
Julie B Mendelsohn,3,447,3,0.0,0.006,,,0.698
Nan Bing,3,74,3,0.0,0.002,,,0.2814
Maribel Vera,3,41,3,0.0,0.002,,,0.1514
Rudolf H Reich,3,322,3,0.0,0.003,,,0.6296
Per S Bakke,3,60,3,0.0,0.007,,,0.2325
Peter W Macfarlane,5,106,3,0.0,0.027,,,0.3666
Periasamy Sundaresan,3,33,3,0.0,0.01,,,0.1144
Noah Weston,3,200,3,0.0,0.006,,,0.5132
Judith Miller,3,668,3,0.0,0.01,,,0.7749
Minh Bui,3,241,3,0.0,0.033,,,0.5601
Masayuki Kimura,3,279,3,0.0,0.004,,,0.5932
Judith A Goodship,3,61,3,0.0,0.003,,,0.236
Marisa Loitfelder,3,362,3,0.0,0.025,,,0.6547
N Akula,3,287,3,0.0,0.001,,,0.6
Mohsen Ghanbari,5,22,3,0.0,0.03,,,0.0635
Rui Zhang,3,116,3,0.0,0.006,,,0.3853
Nagaswamy Soumittra,3,64,3,0.0,0.009,,,0.2494
Phil Barnett,3,54,3,0.0,0.012,,,0.2096
Peter A Merkel,4,46,3,0.0,0.005,,,0.1754
Petroula Proitsi,4,1380,3,0.0,0.02,,,0.8951
Marjo-Riita Jarvelin,3,200,3,0.0,0.005,,,0.5132
Ruslan Dorfman,3,222,3,0.0,0.007,,,0.5395
Petra H Peeters,3,218,3,0.0,0.031,,,0.5341
Minoru Iwata,3,99,3,0.0,0.005,,,0.3527
Judith Balmana,3,127,3,0.0,0.043,,,0.4048
Massimo Franceschi,3,60,3,0.0,0.008,,,0.2325
Olafur Th Magnusson,3,197,3,0.0,0.004,,,0.5091
Marjolein M J van Donkelaar,3,190,3,0.0,0.019,,,0.5001
Mark A Pereira,3,102,3,0.0,0.026,,,0.3591
Petra Nowotny,3,1934,3,0.0,0.019,,,0.9293
Marjorie Romkes,3,101,3,0.0,0.009,,,0.357
Mark A McEvoy,3,77,3,0.0,0.022,,,0.2905
Judith Clements,3,332,3,0.0,0.016,,,0.6378
Maris Alver,5,345,3,0.0,0.032,,,0.6455
Mathieu Platteel,4,548,3,0.0,0.007,,,0.7399
Rulla Tamimi,3,66,3,0.0,0.036,,,0.2558
Minzhong Tang,3,66,3,0.0,0.003,,,0.2558
Marilyn J Telen,3,120,3,0.0,0.001,,,0.3916
Masaya Sugiyama,6,708,3,0.0,0.003,,,0.7861
Matt Baker,4,112,3,0.0,0.011,,,0.3792
Juhani Junttila,3,476,3,0.0,0.043,,,0.712
P Redmond,3,288,3,0.0,0.008,,,0.6007
Min Seob Song,4,40,3,0.0,0.002,,,0.1464
Runolfur Palsson,3,129,3,0.0,0.002,,,0.4088
Olafur S Indridason,3,129,3,0.0,0.002,,,0.4088
Juha Saharinen,3,1736,3,0.0,0.037,,,0.9202
Nadine Norton,4,820,3,0.0,0.012,,,0.8168
Juan Troncoso,3,224,3,0.0,0.024,,,0.5424
Marina Mitjans,3,42,3,0.0,0.01,,,0.1575
Juan Velasco,3,41,3,0.0,0.002,,,0.1514
Moira Chan-Yeung,3,35,3,0.0,0.012,,,0.1244
Marina Pehlic,4,284,3,0.0,0.018,,,0.5971
Matilde Grasa,3,64,3,0.0,0.004,,,0.2494
Marinus J Blok,3,127,3,0.0,0.043,,,0.4048
Rune Frants,3,1011,3,0.0,0.038,,,0.8519
Maties Torrent,4,68,3,0.0,0.011,,,0.2632
Mario Castro,3,292,3,0.0,0.005,,,0.6043
Mario Maj,3,42,3,0.0,0.01,,,0.1575
Marion Bertrand,4,87,3,0.0,0.002,,,0.3213
Marion Gauthier-Villars,3,146,3,0.0,0.036,,,0.4349
Nader Perroud,4,117,3,0.0,0.003,,,0.3868
Peter Braund,3,965,3,0.0,0.005,,,0.8442
Nader Khalidi,4,73,3,0.0,0.008,,,0.2775
Pablo Cervantes,3,42,3,0.0,0.01,,,0.1575
Ross L Prentice,3,242,3,0.0,0.012,,,0.5611
N Pendleton,3,236,3,0.0,0.004,,,0.5561
Nour Eddine El Mokhtari,3,743,3,0.0,0.012,,,0.7949
Maria Feychting,3,401,3,0.0,0.006,,,0.6773
Ruud van der Breggen,3,213,3,0.0,0.007,,,0.5296
Jung-Min Koh,4,331,3,0.0,0.013,,,0.6372
Maria G Stathopoulou,3,100,3,0.0,0.014,,,0.3546
Mitja I Kurki,3,62,3,0.0,0.011,,,0.2408
Ming Li,6,129,3,0.0,0.006,,,0.4088
Ming Liao,6,35,3,0.0,0.007,,,0.1244
Martin E Gore,3,414,3,0.0,0.009,,,0.6844
Joseph Piven,3,668,3,0.0,0.01,,,0.7749
Julie S Garnham,3,42,3,0.0,0.01,,,0.1575
Phillip E Melton,3,38,3,0.0,0.002,,,0.1369
Martin A Kohli,3,484,3,0.0,0.008,,,0.7159
Martha S Linet,4,169,3,0.0,0.015,,,0.4687
Maria Hipolito,3,50,3,0.0,0.01,,,0.1904
Matthew H Kulke,5,89,3,0.0,0.011,,,0.3272
Joseph Rogers,3,372,3,0.0,0.002,,,0.6614
Maria J Bullido,3,1336,3,0.0,0.027,,,0.8898
Nour E El Mokhtari,3,229,3,0.0,0.016,,,0.5483
Masaki Fukunaga,3,224,3,0.0,0.024,,,0.5424
Martha J Shrubsole,3,112,3,0.0,0.034,,,0.3792
Jun Zhu,3,54,3,0.0,0.006,,,0.2096
Nancy G Buccola,3,737,3,0.0,0.004,,,0.7934
Junji Umeno,3,123,3,0.0,0.002,,,0.3969
Phillippa M Cumberland,4,118,3,0.0,0.011,,,0.3884
Maria Esteve,3,41,3,0.0,0.002,,,0.1514
Martin Ladouceur,3,576,3,0.0,0.041,,,0.7494
Jurgen Serth,3,379,3,0.0,0.011,,,0.6654
Pentti Tienari,4,1027,3,0.0,0.023,,,0.854
Nancy J Minshew,3,668,3,0.0,0.01,,,0.7749
Maria Ban,3,976,3,0.0,0.018,,,0.8463
Martin K Rutter,3,78,3,0.0,0.005,,,0.2939
Myriam Rheinberger,3,134,3,0.0,0.04,,,0.4166
Jurgen Glas,3,2348,3,0.0,0.01,,,0.9443
Olga Gornik,3,133,3,0.0,0.002,,,0.4149
Joseph K Pickrell,3,344,3,0.0,0.02,,,0.6451
Mitja Mitrovic,3,1427,3,0.0,0.013,,,0.9006
Jurgen Floege,3,177,3,0.0,0.008,,,0.482
Maria Cristina Mazzilli,3,666,3,0.0,0.006,,,0.7739
Martin J S Dyer,4,203,3,0.0,0.008,,,0.5184
Pagona Lagiou,3,585,3,0.0,0.009,,,0.7515
Ryan D Hernandez,3,263,3,0.0,0.006,,,0.5809
Juozas Kupcinskas,4,129,3,0.0,0.01,,,0.4088
Martin Hrabe de Angelis,3,661,3,0.0,0.002,,,0.7723
Junzhao Zhao,3,222,3,0.0,0.003,,,0.5395
Junxiong Pang,3,179,3,0.0,0.005,,,0.4853
Nancy Heard-Costa,3,166,3,0.0,0.002,,,0.4646
Masakazu Shimizu,3,14,3,0.0,0.002,,,0.0184
Maria Elena Martinez,3,56,3,0.0,0.039,,,0.2175
Maria Krestyaninova,3,637,3,0.0,0.012,,,0.7674
Marten H Hofker,3,709,3,0.0,0.006,,,0.7864
Nancy E Lane,3,96,3,0.0,0.006,,,0.3459
Myrto Barrdahl,3,64,3,0.0,0.034,,,0.2494
Maria N Timofeeva,4,174,3,0.0,0.016,,,0.4779
Ming-Feng Hou,3,245,3,0.0,0.028,,,0.5647
Maria Paula Curado,3,85,3,0.0,0.008,,,0.3133
Maria Pik Wong,3,99,3,0.0,0.01,,,0.3527
Maria Pino-Yanes,7,43,3,0.0,0.006,,,0.1634
P V Krishna Pant,3,523,3,0.0,0.002,,,0.73
Norman F Boyd,3,101,3,0.0,0.004,,,0.357
Maria Serpente,4,105,3,0.0,0.027,,,0.3644
Noel Burtt,4,1353,3,0.0,0.029,,,0.8915
Juliet D French,3,56,3,0.0,0.028,,,0.2175
Nadeem Siddiqui,3,92,3,0.0,0.028,,,0.334
Markus M Noethen,3,392,3,0.0,0.017,,,0.6721
Matthew E Talbert,3,160,3,0.0,0.026,,,0.4571
Ruchi Upmanyu,3,292,3,0.0,0.003,,,0.6043
Per Broberg,3,73,3,0.0,0.042,,,0.2775
Ruth F Jarrett,4,120,3,0.0,0.006,,,0.3916
Maria T Zarrabeitia,3,406,3,0.0,0.015,,,0.6796
Philippa J Talmud,3,945,3,0.0,0.029,,,0.8407
Markus Leber,4,167,3,0.0,0.036,,,0.4661
Maria-Catira Bortolini,4,40,3,0.0,0.003,,,0.1464
Masao Nagasaki,7,20,3,0.0,0.006,,,0.0507
Peter Bugert,4,365,3,0.0,0.013,,,0.6568
Peter Rossing,5,89,3,0.0,0.008,,,0.3272
Nan Shen,3,186,3,0.0,0.006,,,0.4952
Joshua D Hoffman,3,251,3,0.0,0.011,,,0.5705
Peter M Spooner,3,257,3,0.0,0.004,,,0.5765
Norman Gerry,3,204,3,0.0,0.002,,,0.5199
Mislav Novokmet,3,133,3,0.0,0.002,,,0.4149
Judith Conroy,3,314,3,0.0,0.009,,,0.6247
Mirsha Quinto-Sanchez,3,39,3,0.0,0.002,,,0.1421
Ruth Jf Loos,3,400,3,0.0,0.039,,,0.6768
Na Wang,3,55,3,0.0,0.004,,,0.2127
Maria Lopez-Lasanta,5,42,3,0.0,0.002,,,0.1575
Jun Suk Kim,3,167,3,0.0,0.01,,,0.4661
Ruth J Loos,3,230,3,0.0,0.008,,,0.5495
Ming Yang,3,37,3,0.0,0.004,,,0.1319
Josh C Denny,3,413,3,0.0,0.03,,,0.6838
Roy M Gulick,3,486,3,0.0,0.003,,,0.7167
Norman L Letvin,3,754,3,0.0,0.003,,,0.7984
Olga D Carlson,3,224,3,0.0,0.045,,,0.5424
Joshua A Sonnen,3,637,3,0.0,0.024,,,0.7674
Philippe Dieude,3,461,3,0.0,0.008,,,0.7053
Ming Zhan,3,93,3,0.0,0.002,,,0.3364
P Passmore,3,797,3,0.0,0.01,,,0.8127
Marsel Mesulam,3,766,3,0.0,0.025,,,0.8023
Jun Liu,3,89,3,0.0,0.008,,,0.3272
Peter P De Deyn,3,1425,3,0.0,0.027,,,0.9001
Markus Stoffel,3,107,3,0.0,0.001,,,0.3685
Pascual Sanchez-Juan,3,67,3,0.0,0.023,,,0.2594
Mona Kaleem,3,372,3,0.0,0.002,,,0.6614
Kyoung-Mu Lee,3,148,3,0.0,0.007,,,0.4375
M M Carrasquillo,3,825,3,0.0,0.009,,,0.8179
K Stefansson,4,99,3,0.0,0.004,,,0.3527
Olufemi Fasanmade,3,27,3,0.0,0.002,,,0.0893
Li-Shu Zhang,3,57,3,0.0,0.002,,,0.2223
Khader Shameer,3,96,3,0.0,0.002,,,0.3459
Khaled Abu-Amero,3,64,3,0.0,0.009,,,0.2494
Khe Hoang-Xuan,3,389,3,0.0,0.006,,,0.6706
Li-Hsin Chien,4,24,3,0.0,0.016,,,0.0749
Micael Andersson,3,224,3,0.0,0.024,,,0.5424
Li-Dong Wang,4,167,3,0.0,0.009,,,0.4661
Kim L Ward,3,1011,3,0.0,0.038,,,0.8519
Michael Wagner,4,50,3,0.0,0.017,,,0.1904
Li Zhang,3,276,3,0.0,0.002,,,0.5908
Li You,3,222,3,0.0,0.003,,,0.5395
Kim Tsui,3,413,3,0.0,0.02,,,0.6838
Michael V Milburn,3,515,3,0.0,0.003,,,0.7271
Rebecca Hardy,3,897,3,0.0,0.03,,,0.8319
Kimberley Dowzell,3,1443,3,0.0,0.011,,,0.902
Li Qin,3,859,3,0.0,0.007,,,0.8244
Kimberly A Chin,3,367,3,0.0,0.01,,,0.6587
Li-Zhen Chen,3,115,3,0.0,0.002,,,0.384
Raymond Woon Sing Wong,4,201,3,0.0,0.004,,,0.5154
Raymond Noordam,9,22,3,0.0,0.043,,,0.0635
Raul Tortosa,4,42,3,0.0,0.002,,,0.1575
Kevin Litchfield,3,30,3,0.0,0.003,,,0.1033
Neil G Burnet,3,63,3,0.0,0.002,,,0.2456
Pamela Pui Wah Lee,4,201,3,0.0,0.004,,,0.5154
Rasika Mathias,4,88,3,0.0,0.005,,,0.3249
Nicole Dueker,3,73,3,0.0,0.037,,,0.2775
Paul S de Vries,7,265,3,0.0,0.023,,,0.5827
Lieng Taing,5,157,3,0.0,0.002,,,0.4528
Rauli Svento,3,285,3,0.0,0.02,,,0.5976
Robert C Elston,3,254,3,0.0,0.003,,,0.5729
Lianne Schmaal,3,224,3,0.0,0.024,,,0.5424
Mi Kyeong Lee,3,72,3,0.0,0.013,,,0.2744
Liang Sun,4,76,3,0.0,0.02,,,0.2872
Mi-Kyeong Kim,3,41,3,0.0,0.001,,,0.1514
Paul R Lichter,3,180,3,0.0,0.006,,,0.4866
Michaela Fakiola,3,51,3,0.0,0.003,,,0.1969
Raymond K Walters,5,195,3,0.0,0.023,,,0.5072
Kimberly Chambert,3,875,3,0.0,0.013,,,0.8278
Kimihiko Kato,3,74,3,0.0,0.001,,,0.2814
Robert D Inman,3,456,3,0.0,0.007,,,0.7028
Nicola J Sunter,4,186,3,0.0,0.008,,,0.4952
Nelson Freimer,3,304,3,0.0,0.008,,,0.6125
Michael Sendtner,3,103,3,0.0,0.011,,,0.3608
Leslie Bryden,3,372,3,0.0,0.002,,,0.6614
Kirsimari Aaltonen,3,760,3,0.0,0.023,,,0.8002
Nelson L S Tang,3,327,3,0.0,0.013,,,0.6334
Rob M Van Dam,3,80,3,0.0,0.01,,,0.3003
Rebecca McKinney,3,50,3,0.0,0.01,,,0.1904
Rebecca Montalvan,3,51,3,0.0,0.01,,,0.1969
Lesley Jones,3,606,3,0.0,0.027,,,0.7575
Nelson N Stone,3,46,3,0.0,0.002,,,0.1754
Oxana Shangina,3,171,3,0.0,0.012,,,0.473
Rob G H H Nelissen,3,66,3,0.0,0.006,,,0.2558
Kirsten Muri Boberg,4,195,3,0.0,0.007,,,0.5072
Rebecca Nagy,3,200,3,0.0,0.01,,,0.5132
Rebecca Roberts,3,1271,3,0.0,0.008,,,0.882
Nena Aleksic,3,199,3,0.0,0.004,,,0.5114
Nena Matijevic,4,65,3,0.0,0.01,,,0.2525
