,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Martin Farrall,40,7243,32,0.001,0.124,,,0.9879
Lu Qi,47,9678,32,0.002,0.123,,,0.993
John R B Perry,53,10306,32,0.001,0.136,,,0.9942
Valgerdur Steinthorsdottir,35,10188,32,0.0,0.115,,,0.9941
Ivana Kolcic,47,5228,31,0.0,0.141,,,0.9801
Dale R Nyholt,55,6350,31,0.001,0.121,,,0.9848
Paul I W de Bakker,51,8039,31,0.007,0.145,,,0.9901
Aravinda Chakravarti,41,6206,31,0.0,0.111,,,0.9846
Andrew D Johnson,54,4694,31,0.001,0.144,,,0.9768
Kari E North,65,5498,31,0.002,0.135,,,0.9815
Pim van der Harst,61,5209,31,0.001,0.158,,,0.98
Georg Homuth,60,5565,31,0.002,0.178,,,0.9819
Norman Klopp,41,6954,31,0.002,0.146,,,0.987
John L Hopper,54,4801,31,0.001,0.107,,,0.9776
Annette Peters,62,6183,31,0.001,0.163,,,0.9844
Nancy L Pedersen,45,7668,31,0.001,0.167,,,0.9892
Andrew T Hattersley,33,11415,31,0.0,0.112,,,0.9956
Patricia B Munroe,45,9855,31,0.0,0.141,,,0.9932
Michael Stumvoll,44,7263,31,0.0,0.14,,,0.9881
Kent D Taylor,85,6905,30,0.003,0.149,,,0.9869
Talin Haritunians,42,8234,30,0.001,0.104,,,0.9906
Kevin B Jacobs,33,8227,30,0.001,0.107,,,0.9905
Myriam Fornage,66,2643,30,0.002,0.165,,,0.9518
Heather M Stringham,34,13146,30,0.0,0.126,,,0.9968
Sarah E Medland,65,3952,30,0.002,0.137,,,0.9707
Xiao-Ou Shu,56,3536,30,0.004,0.144,,,0.9661
Richard N Bergman,35,13499,30,0.0,0.118,,,0.9972
Susan R Heckbert,56,3638,30,0.001,0.114,,,0.9675
Andrew D Morris,33,10344,30,0.0,0.114,,,0.9943
Karol Estrada,43,6671,30,0.001,0.104,,,0.9862
Tatsuhiko Tsunoda,48,2797,29,0.002,0.051,,,0.9551
Per Hall,43,7430,29,0.003,0.158,,,0.9887
Olli Raitakari,41,5165,29,0.001,0.141,,,0.9799
Olle Melander,47,10132,29,0.002,0.144,,,0.9939
Torben Hansen,45,7068,29,0.001,0.139,,,0.9875
Harald Grallert,48,8649,29,0.001,0.137,,,0.9915
Daniel Levy,49,4061,29,0.001,0.112,,,0.9716
Eco J C de Geus,46,5484,29,0.001,0.146,,,0.9813
